id,track_name,album_name,release_date,artist,genre,explicit,score,airplay_streams,amazon_playlist_count,deezer_playlist_count,itunes_playlist_count,shazam_count,siriusxm_streams,soundcloud_plays,spotify_playlist_count,spotify_playlist_total_reach,spotify_plays,spotify_popularity,spotify_ed_playlist_count,spotify_ed_playlist_total_reach,tidal_popularity,tiktok_posts,tiktok_top_videos_likes,tiktok_top_videos_views,youtube_likes,youtube_playlist_count,youtube_views
139297943,Qué Pasaría...,Qué Pasaría...,2024-11-14,"['Rauw Alejandro', 'Bad Bunny']",['Latin'],True,0.188407575136,24639.0,46.0,80.0,112.0,745784.0,37.0,108202.0,30420.0,161887469.0,309809737.0,88.0,49.0,103735315.0,,763100.0,97193885.0,1106330404.0,638110.0,92.0,89045155.0
113612616,พี่ชอบหนูที่สุดเลย,พี่ชอบหนูที่สุดเลย,2023-11-02,"['PONCHET', 'VARINZ - Speed Up Version']",['Pop'],False,0.187798357194,,,,1.0,202569.0,,,2033.0,336516.0,12859749.0,47.0,0.0,0.0,,23600000.0,58.0,8174.0,3879.0,,682922.0
121235485,Future,Future,2024-01-10,['official sound studio'],['Others'],False,0.186811343973,,,,,,,,1.0,3.0,,0.0,0.0,0.0,,19762689.0,316244626.0,5412955743.0,,,
117692845,Too Sweet,Unreal Unearth: Unaired,2023-08-18,['Hozier'],"['Alternative', 'Folk', 'Alternative Rock']",False,0.186296444732,920364.0,46.0,40.0,137.0,,69.0,,95796.0,95725851.0,1327748671.0,75.0,27.0,55097111.0,,145009.0,3318000.0,20700000.0,2900851.0,83.0,361525550.0
106479077,Water,Water,2023-07-28,['Tyla'],['Pop'],False,0.185351570927,595577.0,130.0,150.0,234.0,7794545.0,1502.0,7810118.0,159321.0,114915153.0,1006202838.0,81.0,99.0,16135360.0,,2094459.0,627459532.0,7188940997.0,3326825.0,167.0,403970207.0
101102005,Daylight,Daylight,2023-04-14,['David Kushner'],['Pop'],False,0.184216884449,291473.0,60.0,66.0,157.0,9762295.0,104.0,11532660.0,236270.0,79730743.0,1417863911.0,78.0,52.0,7437252.0,,4337361.0,492221541.0,4742562809.0,4656533.0,169.0,410575150.0
138536988,Sticky,CHROMAKOPIA,2024-10-28,"['Tyler, The Creator', 'GloRilla', 'Sexyy Red', 'Lil Wayne']",['Hip-Hop/Rap'],True,0.183245899894,77706.0,70.0,28.0,58.0,733141.0,1.0,4361096.0,43960.0,89535434.0,271001169.0,86.0,29.0,38274507.0,,,,,1091610.0,39.0,50363976.0
136289978,Bad Dreams,Bad Dreams,2024-09-13,['Teddy Swims'],['Pop'],False,0.183024533081,231017.0,97.0,80.0,108.0,3186059.0,142.0,,28110.0,106786480.0,247714149.0,82.0,48.0,65975291.0,,132900.0,1834048.0,37159968.0,893377.0,127.0,110806573.0
97071914,Kill Bill,SOS,2022-12-08,['SZA'],"['R&B/Soul', 'Pop']",False,0.182304387894,720630.0,108.0,73.0,233.0,5288472.0,5789.0,19144585.0,238052.0,99559815.0,2384677027.0,83.0,66.0,5967813.0,,227575.0,216162885.0,1972319852.0,3637537.0,93.0,268170218.0
99825371,TQG,TQG,2023-02-23,"['KAROL G', 'Shakira']","['Latin Pop', 'Latin', 'Latin Hip-Hop/Rap']",True,0.180510115752,168599.0,126.0,69.0,140.0,3882016.0,49.0,,95517.0,61304058.0,1226972764.0,77.0,40.0,4350514.0,,8415311.0,598168782.0,9382042431.0,9372640.0,112.0,1292192731.0
111451067,My Love Mine All Mine,The Land Is Inhospitable and So Are We,2023-09-15,['Mitski'],"['Alternative', 'Rock', 'Alternative Rock']",False,0.180142915365,39609.0,81.0,54.0,94.0,3353388.0,3260.0,10783746.0,182933.0,97766614.0,1484144898.0,84.0,98.0,25056948.0,,5825721.0,1838257341.0,12994381258.0,1270040.0,33.0,67484097.0
138199762,Presidente,Presidente,2024-10-21,"['Gabito Ballesteros', 'Natanael Cano', 'Luis R Conriquez', 'Neton Vega']",['Latin'],True,0.179199527979,77.0,19.0,9.0,25.0,491472.0,,495291.0,13145.0,35550837.0,248589663.0,84.0,16.0,18387023.0,,184900.0,29.0,769.0,2574428.0,34.0,395518118.0
136976860,Smile,Harlequin,2024-09-27,['Lady Gaga'],['Pop'],False,0.17893594065,44.0,,9.0,3.0,2292.0,,,667.0,526992.0,2573629.0,42.0,1.0,9946.0,,204.0,10264.0,147595.0,8716079.0,358.0,739404868.0
143705726,BMF,SOS Deluxe: LANA,2025-02-08,['SZA'],['R&B/Soul'],False,0.178878194975,,,,23.0,,,,13.0,45253.0,157582676.0,,0.0,0.0,,,,,,,
29681793,Heat Waves,Heat Waves,2020-06-29,['Glass Animals'],"['Pop', 'Alternative', 'Hip-Hop/Rap']",False,0.176791787596,1530246.0,108.0,147.0,469.0,18745631.0,1476.0,,553700.0,116795107.0,3299931595.0,81.0,88.0,18384012.0,,2314033.0,512142888.0,5531259091.0,15527036.0,67.0,1382582086.0
104111940,fukumean,fukumean,2023-06-15,['Gunna'],['Hip-Hop/Rap'],True,0.174879889705,309864.0,87.0,28.0,130.0,4451093.0,4385.0,38019798.0,243542.0,74560093.0,1032554878.0,78.0,37.0,11719381.0,,971206.0,470153633.0,5326644221.0,1440094.0,67.0,123211950.0
141751821,VeLDÁ,DeBÍ TiRAR MáS FOToS,2025-01-05,"['Bad Bunny', 'Omar Courtz', 'Dei V']",['Latin'],True,0.173891261275,916.0,11.0,26.0,53.0,265924.0,,881792.0,16865.0,96319329.0,195257122.0,89.0,21.0,35720838.0,,50900.0,65.0,2371.0,274873.0,37.0,30814600.0
29349804,Laxed (Siren Beat),Laxed (Siren Beat),2020-04-24,['Jawsh 685'],['Reggae'],False,0.173943563742,10393.0,,4.0,15.0,3879117.0,,,7848.0,1614241.0,62759532.0,43.0,2.0,283.0,,72527462.0,9253299.0,148108425.0,206345.0,,10385913.0
